                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1787,                 1.2405,                  1.303,                0.77305,                0.68355,                0.74911,                0.46992,                 1.3048,                 1.1182,                 1.2217,               0.006634,               0.006634,               0.006634
                     70,                 1.1854,                 1.2318,                 1.3033,                0.78124,                0.67864,                0.75009,                0.45882,                 1.3231,                 1.1298,                 1.2357,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1911,                 1.2345,                 1.2995,                0.79702,                0.67204,                0.75593,                0.47141,                  1.292,                 1.1121,                 1.2096,               0.006535,               0.006535,               0.006535
                     72,                 1.1789,                 1.2256,                 1.2916,                0.78043,                 0.6853,                0.75258,                0.46161,                 1.3149,                 1.1221,                 1.2173,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1804,                 1.2423,                  1.304,                0.80465,                0.66997,                 0.7542,                 0.4652,                 1.3188,                 1.1178,                 1.2313,               0.006436,               0.006436,               0.006436
                     74,                 1.1695,                 1.2171,                 1.2895,                0.78855,                 0.6708,                 0.7526,                0.46897,                 1.3029,                 1.1123,                 1.2197,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1737,                 1.2064,                  1.292,                 0.7806,                0.67959,                0.75275,                0.46981,                 1.2993,                 1.0972,                 1.2192,               0.006337,               0.006337,               0.006337
                     76,                 1.1713,                 1.2241,                 1.2924,                0.77839,                0.68744,                 0.7506,                0.46292,                  1.313,                 1.1054,                  1.224,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1643,                 1.2094,                 1.2897,                0.78877,                0.68956,                0.75679,                0.46977,                    1.3,                 1.0907,                  1.216,               0.006238,               0.006238,               0.006238
                     78,                 1.1693,                 1.1975,                 1.2886,                0.77594,                0.69122,                0.75682,                 0.4762,                 1.2917,                 1.0836,                  1.207,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1624,                 1.2048,                 1.2889,                0.79447,                 0.6858,                0.76205,                0.48445,                 1.2732,                 1.0787,                 1.2032,               0.006139,               0.006139,               0.006139
                     80,                 1.1631,                 1.1999,                 1.2829,                0.78811,                0.68833,                0.76056,                0.47904,                 1.2883,                 1.0798,                 1.2113,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1634,                 1.1985,                 1.2877,                0.78925,                0.68384,                0.75935,                0.47315,                  1.304,                 1.0844,                  1.224,                0.00604,                0.00604,                0.00604
                     82,                 1.1683,                 1.2051,                  1.287,                0.77003,                0.70139,                0.75867,                0.47898,                 1.2889,                 1.0816,                 1.2126,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1563,                  1.194,                   1.28,                0.77472,                0.70176,                 0.7609,                0.48216,                 1.2713,                 1.0751,                 1.1989,               0.005941,               0.005941,               0.005941
                     84,                 1.1505,                 1.1795,                 1.2784,                0.80423,                0.69712,                0.76815,                0.48815,                 1.2656,                 1.0603,                 1.1936,              0.0058915,              0.0058915,              0.0058915
                     85,                  1.153,                 1.1838,                 1.2781,                 0.7793,                0.69622,                0.76116,                0.48118,                 1.2775,                 1.0751,                 1.1979,               0.005842,               0.005842,               0.005842
